frame	RelOb	DetObj	TrueDet	FalseDet	NotDet
265	1	5	0	5	1
266	1	8	0	8	1
267	1	6	0	6	1
268	1	5	1	4	0
269	1	5	1	4	0
270	1	4	2	2	0
271	1	4	1	3	0
272	1	6	1	5	0
273	1	8	1	7	0
274	1	5	1	4	0
275	1	5	1	4	0
276	1	6	0	6	1
277	1	7	0	7	1
278	1	8	3	5	0
279	1	6	3	3	0
280	1	2	0	2	1
281	1	3	0	3	1
282	1	5	0	5	1
283	1	5	0	5	1
284	1	4	0	4	1
285	1	4	0	4	1
286	1	4	0	4	1
287	1	6	0	6	1
288	1	6	1	5	0
289	1	3	1	2	0
290	1	4	0	4	1
291	1	5	0	5	1
292	1	5	1	4	0
293	1	5	0	5	1
294	1	4	1	3	0
295	1	8	0	8	1
296	1	7	0	7	1
297	1	3	2	1	0
298	1	7	2	5	0
299	1	8	2	6	0
300	1	5	0	5	1
301	1	4	1	3	0
302	1	5	0	5	1
303	1	5	0	5	1
304	1	4	2	2	0
305	1	7	2	5	0
306	1	9	1	8	0
307	1	4	0	4	1
308	1	2	0	2	1
309	1	4	0	4	1
310	1	8	0	8	1
311	1	8	1	7	0
312	1	7	0	7	1
313	1	7	0	7	1
314	1	5	1	4	0
315	1	5	1	4	0
316	1	9	2	7	0
317	1	8	2	6	0
318	1	6	0	6	1
319	1	6	1	5	0
320	1	4	1	3	0
321	1	4	1	3	0
322	1	9	1	8	0
323	1	10	1	9	0
324	1	8	0	8	1
325	1	5	0	5	1
326	1	5	0	5	1
327	1	6	0	6	1
328	1	5	0	5	1
329	1	7	0	7	1
330	1	10	0	10	1
331	1	12	1	11	0
332	1	5	0	5	1
333	1	7	1	6	0
334	1	5	1	4	0
335	1	4	2	2	0
336	1	6	0	6	1
337	1	5	2	3	0
338	1	5	1	4	0
339	1	5	0	5	1
340	1	5	1	4	0
341	1	6	2	4	0
342	1	5	2	3	0
343	1	5	0	5	1
344	1	7	0	7	1
345	1	6	2	4	0
346	1	7	1	6	0
347	1	11	2	9	0
348	1	11	2	9	0
349	1	6	0	6	1
350	1	4	0	4	1
351	1	4	0	4	1
352	1	6	0	6	1
353	1	5	0	5	1
354	1	4	0	4	1
355	1	4	0	4	1
356	1	5	1	4	0
357	1	11	0	11	1
358	1	10	2	8	0
359	1	4	2	2	0
360	1	2	0	2	1
361	1	4	1	3	0
362	1	5	0	5	1
363	1	4	0	4	1
364	1	5	0	5	1
365	1	4	0	4	1
366	1	6	1	5	0
367	1	7	2	5	0
368	1	5	1	4	0
369	1	5	2	3	0
370	1	4	2	2	0
371	1	4	0	4	1
372	1	5	1	4	0
373	1	8	1	7	0
374	1	10	1	9	0
375	1	9	4	5	0
376	1	7	1	6	0
377	1	7	0	7	1
378	1	9	0	9	1
379	1	9	1	8	0
380	1	7	2	5	0
381	1	8	1	7	0
382	1	10	0	10	1
383	1	7	2	5	0
384	1	5	1	4	0
385	1	5	0	5	1
386	1	5	1	4	0
387	1	6	0	6	1
388	1	6	0	6	1
389	1	6	1	5	0
390	1	8	2	6	0
391	1	7	1	6	0
392	1	7	0	7	1
393	1	8	0	8	1
394	1	8	0	8	1
395	1	7	1	6	0
396	1	6	1	5	0
397	1	5	0	5	1
398	1	7	0	7	1
399	1	11	1	10	0
400	1	10	1	9	0
401	1	6	0	6	1
402	1	5	1	4	0
403	1	5	0	5	1
404	1	5	0	5	1
405	1	7	1	6	0
406	1	8	1	7	0
407	1	8	3	5	0
408	1	4	1	3	0
409	1	3	2	1	0
410	1	3	1	2	0
411	1	6	1	5	0
412	1	8	1	7	0
413	1	7	0	7	1
414	1	9	1	8	0
415	1	8	1	7	0
416	1	6	0	6	1
417	1	7	1	6	0
418	1	6	0	6	1
419	1	3	0	3	1
420	1	4	0	4	1
421	1	4	0	4	1
422	1	6	1	5	0
423	1	9	2	7	0
424	1	8	1	7	0
425	1	11	1	10	0
426	1	10	1	9	0
427	1	4	0	4	1
428	1	6	0	6	1
429	1	9	0	9	1
430	1	7	0	7	1
431	1	5	0	5	1
432	1	9	0	9	1
433	1	11	1	10	0
434	1	9	0	9	1
435	1	8	0	8	1
436	1	6	2	4	0
437	1	5	1	4	0
438	1	6	1	5	0
439	1	5	1	4	0
440	1	9	1	8	0
441	1	13	3	10	0
442	1	12	2	10	0
443	1	5	0	5	1
444	1	4	0	4	1
445	1	9	1	8	0
446	1	9	1	8	0
447	1	7	0	7	1
448	1	8	1	7	0
449	1	6	1	5	0
450	1	8	1	7	0
451	1	9	2	7	0
452	1	6	0	6	1
453	1	5	3	2	0
454	1	5	3	2	0
455	1	6	1	5	0
456	1	6	1	5	0
457	1	6	1	5	0
458	1	6	1	5	0
459	1	6	0	6	1
460	1	8	2	6	0
461	1	6	1	5	0
462	1	6	0	6	1
463	1	7	0	7	1
464	1	10	0	10	1
465	1	14	1	13	0
466	1	8	0	8	1
467	1	3	0	3	1
468	1	4	2	2	0
469	1	5	1	4	0
470	1	6	1	5	0
471	1	7	1	6	0
472	1	5	1	4	0
473	1	7	3	4	0
474	1	8	0	8	1
475	1	8	0	8	1
476	1	7	3	4	0
477	1	6	1	5	0
478	1	8	2	6	0
479	1	7	0	7	1
480	1	6	3	3	0
481	1	6	2	4	0
482	1	5	1	4	0
483	1	5	0	5	1
484	1	9	2	7	0
485	1	8	2	6	0
486	1	5	3	2	0
487	1	6	1	5	0
488	1	7	3	4	0
489	1	5	2	3	0
490	1	3	0	3	1
491	1	4	0	4	1
492	1	3	1	2	0
493	1	6	1	5	0
494	1	9	3	6	0
495	1	8	0	8	1
496	1	5	2	3	0
497	1	7	4	3	0
498	1	9	4	5	0
499	1	5	2	3	0
500	1	4	1	3	0
501	1	4	0	4	1
502	1	5	0	5	1
503	1	6	1	5	0
504	1	4	1	3	0
505	1	5	1	4	0
506	1	8	1	7	0
507	1	5	0	5	1
508	1	5	2	3	0
509	1	8	3	5	0
510	1	7	2	5	0
511	1	6	2	4	0
512	1	7	0	7	1
513	1	8	0	8	1
514	1	7	0	7	1
515	1	5	0	5	1
516	1	3	1	2	0
517	1	4	0	4	1
518	1	4	2	2	0
519	1	4	3	1	0
520	1	5	0	5	1
521	1	6	0	6	1
522	1	7	0	7	1
523	1	7	1	6	0
524	1	9	2	7	0
525	1	7	3	4	0
526	1	4	0	4	1
527	1	4	1	3	0
528	1	5	1	4	0
529	1	8	1	7	0
530	1	8	0	8	1
531	1	5	1	4	0
532	1	6	1	5	0
533	1	5	1	4	0
534	1	6	1	5	0
535	1	6	1	5	0
536	1	5	1	4	0
537	1	5	0	5	1
538	1	7	2	5	0
539	1	6	0	6	1
540	1	4	0	4	1
541	1	5	1	4	0
542	1	5	0	5	1
543	1	6	1	5	0
544	1	8	0	8	1
545	1	6	1	5	0
546	1	6	3	3	0
547	1	6	4	2	0
548	1	5	2	3	0
549	1	6	1	5	0
550	1	10	1	9	0
551	1	7	2	5	0
552	1	4	1	3	0
553	1	7	2	5	0
554	1	9	0	9	1
555	1	8	0	8	1
556	1	9	3	6	0
557	1	9	1	8	0
558	1	9	2	7	0
559	1	7	2	5	0
560	1	9	2	7	0
561	1	8	0	8	1
562	1	4	0	4	1
563	1	7	1	6	0
564	1	9	2	7	0
565	1	7	2	5	0
566	1	4	2	2	0
567	1	5	1	4	0
568	1	6	3	3	0
569	1	4	0	4	1
570	1	7	0	7	1
571	1	8	0	8	1
572	1	5	1	4	0
573	1	5	2	3	0
574	1	7	1	6	0
575	1	7	3	4	0
576	1	8	1	7	0
577	1	9	2	7	0
578	1	8	0	8	1
579	1	8	0	8	1
580	1	8	2	6	0
581	1	9	1	8	0
582	1	8	0	8	1
583	1	8	1	7	0
584	1	12	0	12	1
585	1	12	2	10	0
586	1	8	2	6	0
587	1	4	1	3	0
588	1	4	0	4	1
589	1	6	0	6	1
590	1	8	0	8	1
591	1	12	1	11	0
592	1	11	2	9	0
593	1	7	1	6	0
594	1	9	1	8	0
595	1	11	0	11	1
596	1	9	1	8	0
597	1	9	3	6	0
598	1	9	4	5	0
599	1	7	3	4	0
600	1	5	1	4	0
601	1	4	1	3	0
602	1	4	1	3	0
603	1	5	0	5	1
604	1	4	1	3	0
605	1	4	1	3	0
606	1	10	1	9	0
607	1	13	0	13	1
608	1	8	2	6	0
609	1	6	3	3	0
610	1	8	3	5	0
611	1	12	2	10	0
612	1	9	2	7	0
613	1	7	1	6	0
614	1	5	0	5	1
615	1	5	0	5	1
616	1	7	0	7	1
617	1	7	4	3	0
618	1	7	1	6	0
619	1	4	1	3	0
620	1	5	0	5	1
621	1	5	1	4	0
622	1	4	1	3	0
623	1	6	1	5	0
624	1	5	1	4	0
625	1	7	3	4	0
626	1	9	3	6	0
627	1	8	3	5	0
628	1	4	0	4	1
629	1	4	0	4	1
630	1	5	0	5	1
631	1	7	3	4	0
632	1	6	0	6	1
633	1	4	2	2	0
634	1	3	1	2	0
635	1	6	0	6	1
636	1	10	2	8	0
637	1	12	1	11	0
638	1	11	1	10	0
639	1	7	1	6	0
