frame	IoU
2	2.85714
2	114.286
3	2.85714
4	4.7619
5	10.2564
6	3.00752
7	1.62602
7	0.886918
8	0.886918
9	100
9	100
16	6.83761
16	10.8108
17	7.61905
17	25.3968
18	25.3968
18	133.333
19	133.333
21	10.2564
21	7.20721
21	16.6667
21	133.333
22	7.01754
22	133.333
23	66.6667
23	66.6667
24	66.6667
24	66.6667
28	4.10256
28	133.333
29	133.333
29	7.20721
30	36.3636
31	36.3636
31	200
31	200
32	200
32	200
32	160
33	10
33	160
34	7.40741
34	11.1111
35	11.1111
36	7.01754
37	6.50407
37	10
37	80
38	4
39	7.61905
39	6.34921
40	11.1111
40	5.92593
41	8.08081
41	200
42	10
42	200
43	10
43	200
45	133.333
46	10.5263
46	133.333
46	133.333
47	66.6667
48	3.25203
48	7.20721
49	8.33333
50	10
51	21.0526
53	7.20721
56	1.50094
56	13.7931
57	6.66667
58	6.66667
60	36.3636
60	22.2222
60	22.2222
61	6.50407
61	22.2222
61	22.2222
61	6.50407
62	6.50407
64	11.4286
64	7.01754
65	6.83761
66	11.1111
66	7.20721
70	266.667
70	200
73	7.20721
74	7.20721
75	2.1164
75	6.83761
76	6.50407
78	7.40741
78	11.4286
79	25.3968
79	10
81	10.2564
82	11.1111
84	11.7647
84	7.20721
85	133.333
85	133.333
86	133.333
86	133.333
87	7.84314
87	53.3333
88	13.7931
88	53.3333
88	53.3333
89	53.3333
89	53.3333
91	10.5263
92	88.8889
93	7.01754
93	88.8889
94	88.8889
94	100
95	100
96	12.9032
96	100
97	12.9032
97	100
97	100
97	6.50407
98	100
98	6.50407
99	4.65116
100	4.65116
101	10.8108
102	5.12821
103	28.5714
104	7.20721
104	28.5714
105	2.32558
105	28.5714
107	7.20721
108	2.38095
108	7.20721
110	2.5641
112	10.5263
115	22.8571
117	200
117	266.667
118	200
119	200
120	1.66667
120	50
121	2.78746
122	200
123	7.61905
123	200
126	7.20721
128	28.5714
129	28.5714
130	10.2564
131	2.43902
133	2.85714
133	2.72109
133	11.1111
133	2.85714
134	2.72109
134	2.85714
137	7.40741
137	11.1111
141	3.50877
141	3.50877
142	3.50877
142	3.50877
143	6.66667
144	6.66667
144	6.66667
145	6.20155
145	9.52381
146	6.83761
147	6.50407
148	6.34921
150	5.12821
153	1.31579
153	6.34921
154	1.31579
154	28.5714
155	5.26316
155	266.667
156	266.667
158	266.667
159	266.667
162	5.40541
163	11.1111
163	5.40541
166	4.87805
166	14.2857
167	7.20721
167	14.2857
168	5.19481
168	2.96296
168	5.19481
169	10.8108
169	9.87654
169	5.19481
170	3.80952
171	4.70588
172	4.70588
173	6.66667
174	3.72093
177	10.8108
177	1.69671
178	1.69671
178	200
178	200
179	200
180	10.5263
182	10.8108
182	10.8108
183	10.5263
183	7.20721
183	10.8108
183	7.20721
184	7.20721
185	10.5263
186	7.20721
186	44.4444
186	44.4444
187	7.20721
187	44.4444
187	44.4444
190	10.5263
191	10.5263
191	106.667
191	106.667
192	6.34921
192	106.667
192	106.667
194	7.61905
196	88.8889
197	7.01754
197	88.8889
199	16.6667
201	66.6667
201	66.6667
201	7.40741
202	7.40741
203	1.42857
203	10.2564
204	11.1111
204	1.42857
206	6.83761
208	266.667
209	2.27273
209	6.50407
214	6.66667
216	16.6667
217	16.6667
221	6.50407
222	5.40541
222	100
223	10.8108
223	100
224	5.40541
224	7.20721
225	7.61905
225	59.2593
226	133.333
226	59.2593
227	6.50407
227	10.8108
228	3.90244
229	7.20721
232	38.0952
233	7.20721
233	133.333
233	38.0952
234	6.83761
235	7.61905
237	6.50407
238	2.53968
239	10.8108
241	10.5263
241	33.3333
242	33.3333
243	200
243	200
243	33.3333
244	88.8889
244	88.8889
245	80
246	2.10526
246	80
247	160
249	8.33333
249	266.667
249	200
250	200
251	10.5263
251	7.01754
252	200
252	200
253	7.84314
253	200
253	200
258	3.25203
258	3.55556
262	200
263	10.5263
263	200
264	2.32558
268	6.66667
269	6.66667
270	11.1111
270	7.20721
271	10
272	6.50407
273	10
274	1.57791
275	133.333
278	11.4286
278	11.4286
278	11.1111
279	7.01754
279	11.4286
279	11.1111
288	10.5263
289	7.20721
292	3.33333
294	7.61905
297	7.01754
297	100
298	100
298	7.84314
299	10.5263
299	133.333
301	5.12821
304	2.38095
304	3.80952
305	2.38095
305	1.81406
306	1.81406
311	10.2564
314	1.91388
315	32
316	32
316	32
317	32
317	32
319	24.2424
320	11.1111
321	7.01754
322	80
323	7.20721
331	10.8108
333	100
334	100
335	7.61905
335	10.8108
337	7.84314
337	44.4444
338	44.4444
340	133.333
341	4.10256
341	133.333
342	2.85714
342	4.10256
345	7.20721
345	133.333
346	133.333
347	3.80952
347	160
348	3.80952
348	160
356	6.66667
358	2.22222
358	6.83761
359	2.22222
359	6.83761
361	10.8108
366	160
367	7.61905
367	160
368	9.7561
369	10.8108
369	4.44444
370	10.8108
370	10.2564
372	2.22222
373	3.33333
374	200
375	266.667
375	24.2424
375	200
375	7.84314
376	7.61905
379	8.08081
380	6.83761
380	100
381	7.01754
383	133.333
383	200
384	200
386	133.333
389	7.61905
390	12.1212
390	200
391	200
395	106.667
396	9.7561
399	10.8108
400	10.8108
402	2.9304
405	10.2564
406	100
407	6.66667
407	100
407	133.333
408	800
409	6.50407
409	800
410	10.5263
411	10.5263
412	88.8889
414	10.5263
415	7.20721
417	2.2792
422	33.3333
423	33.3333
423	6.83761
424	7.01754
425	9.52381
426	9.52381
433	10
436	6.83761
436	10.8108
437	133.333
438	133.333
439	133.333
440	7.61905
441	7.61905
441	7.20721
441	16.6667
442	6.34921
442	16.6667
445	10.5263
446	10.5263
448	7.61905
