frame	RelOb	DetObj	TrueDet	FalseDet	NotDet
265	1	8	0	8	1
266	1	15	1	14	0
267	1	10	0	10	1
268	1	14	0	14	1
269	1	13	1	12	0
270	1	12	1	11	0
271	1	11	1	10	0
272	1	12	0	12	1
273	1	13	1	12	0
274	1	11	0	11	1
275	1	6	1	5	0
276	1	15	0	15	1
277	1	14	1	13	0
278	1	11	1	10	0
279	1	14	0	14	1
280	1	12	0	12	1
281	1	11	1	10	0
282	1	12	0	12	1
283	1	13	1	12	0
284	1	15	0	15	1
285	1	13	1	12	0
286	1	12	0	12	1
287	1	10	0	10	1
288	1	15	1	14	0
289	1	11	0	11	1
290	1	14	0	14	1
291	1	13	0	13	1
292	1	13	1	12	0
293	1	12	0	12	1
294	1	12	0	12	1
295	1	7	1	6	0
296	1	14	0	14	1
297	1	9	0	9	1
298	1	12	0	12	1
299	1	12	0	12	1
300	1	14	1	13	0
301	1	10	1	9	0
302	1	12	0	12	1
303	1	15	0	15	1
304	1	15	1	14	0
305	1	14	1	13	0
306	1	12	0	12	1
307	1	12	0	12	1
308	1	16	1	15	0
309	1	18	0	18	1
310	1	13	1	12	0
311	1	11	1	10	0
312	1	11	1	10	0
313	1	13	1	12	0
314	1	15	1	14	0
315	1	14	1	13	0
316	1	16	0	16	1
317	1	8	0	8	1
318	1	11	1	10	0
319	1	16	0	16	1
320	1	13	0	13	1
321	1	16	1	15	0
322	1	14	0	14	1
323	1	16	1	15	0
324	1	12	0	12	1
325	1	13	0	13	1
326	1	17	0	17	1
327	1	10	1	9	0
328	1	14	1	13	0
329	1	10	0	10	1
330	1	13	0	13	1
331	1	11	0	11	1
332	1	9	0	9	1
333	1	12	0	12	1
334	1	10	1	9	0
335	1	16	0	16	1
336	1	12	1	11	0
337	1	19	0	19	1
338	1	12	1	11	0
339	1	15	1	14	0
340	1	10	0	10	1
341	1	13	0	13	1
342	1	16	0	16	1
343	1	14	0	14	1
344	1	7	0	7	1
345	1	10	0	10	1
346	1	9	1	8	0
347	1	14	0	14	1
348	1	12	0	12	1
349	1	9	1	8	0
350	1	11	1	10	0
351	1	12	0	12	1
352	1	10	0	10	1
353	1	13	0	13	1
354	1	16	0	16	1
355	1	19	0	19	1
356	1	11	0	11	1
357	1	17	0	17	1
358	1	13	0	13	1
359	1	14	1	13	0
360	1	17	0	17	1
361	1	15	1	14	0
362	1	9	0	9	1
363	1	13	1	12	0
364	1	14	0	14	1
365	1	18	0	18	1
366	1	13	0	13	1
367	1	18	1	17	0
368	1	11	0	11	1
369	1	15	0	15	1
370	1	11	0	11	1
371	1	15	0	15	1
372	1	11	0	11	1
373	1	11	1	10	0
374	1	12	0	12	1
375	1	10	0	10	1
376	1	12	1	11	0
377	1	10	0	10	1
378	1	15	1	14	0
379	1	12	1	11	0
380	1	12	0	12	1
381	1	15	0	15	1
382	1	10	0	10	1
383	1	16	0	16	1
384	1	15	0	15	1
385	1	13	1	12	0
386	1	13	0	13	1
387	1	10	0	10	1
388	1	14	0	14	1
389	1	16	0	16	1
390	1	10	0	10	1
391	1	9	0	9	1
392	1	10	1	9	0
393	1	13	0	13	1
394	1	15	0	15	1
395	1	10	0	10	1
396	1	10	0	10	1
397	1	12	0	12	1
398	1	13	1	12	0
399	1	11	0	11	1
400	1	7	0	7	1
401	1	15	0	15	1
402	1	11	0	11	1
403	1	16	1	15	0
404	1	12	0	12	1
405	1	10	1	9	0
406	1	11	0	11	1
407	1	16	0	16	1
408	1	11	1	10	0
409	1	11	0	11	1
410	1	12	0	12	1
411	1	18	1	17	0
412	1	15	0	15	1
413	1	13	1	12	0
414	1	10	0	10	1
415	1	8	0	8	1
416	1	11	0	11	1
417	1	14	0	14	1
418	1	14	1	13	0
419	1	12	0	12	1
420	1	17	0	17	1
421	1	10	0	10	1
422	1	11	0	11	1
423	1	13	0	13	1
424	1	9	1	8	0
425	1	13	0	13	1
426	1	18	0	18	1
427	1	11	0	11	1
428	1	9	0	9	1
429	1	14	0	14	1
430	1	11	0	11	1
431	1	15	0	15	1
432	1	16	0	16	1
433	1	15	1	14	0
434	1	13	0	13	1
435	1	12	1	11	0
436	1	13	1	12	0
437	1	14	1	13	0
438	1	12	0	12	1
439	1	9	0	9	1
440	1	13	0	13	1
441	1	12	1	11	0
442	1	17	1	16	0
443	1	10	0	10	1
444	1	14	0	14	1
445	1	10	1	9	0
446	1	13	0	13	1
447	1	12	0	12	1
448	1	14	0	14	1
449	1	16	0	16	1
450	1	8	0	8	1
451	1	12	1	11	0
452	1	8	0	8	1
453	1	13	0	13	1
454	1	7	1	6	0
455	1	15	0	15	1
456	1	11	0	11	1
457	1	10	0	10	1
458	1	14	0	14	1
459	1	15	0	15	1
460	1	13	0	13	1
461	1	10	0	10	1
462	1	12	1	11	0
463	1	12	0	12	1
464	1	6	0	6	1
465	1	11	0	11	1
466	1	12	0	12	1
467	1	12	0	12	1
468	1	9	0	9	1
469	1	12	1	11	0
470	1	13	0	13	1
471	1	7	0	7	1
472	1	11	0	11	1
473	1	11	1	10	0
474	1	12	1	11	0
475	1	10	1	9	0
476	1	11	0	11	1
477	1	13	0	13	1
478	1	13	0	13	1
479	1	15	0	15	1
480	1	10	0	10	1
481	1	9	0	9	1
482	1	11	0	11	1
483	1	7	0	7	1
484	1	15	0	15	1
485	1	14	1	13	0
486	1	11	0	11	1
487	1	11	0	11	1
488	1	15	0	15	1
489	1	11	0	11	1
490	1	12	0	12	1
491	1	12	0	12	1
492	1	9	0	9	1
493	1	9	0	9	1
494	1	14	0	14	1
495	1	12	0	12	1
496	1	12	0	12	1
497	1	16	1	15	0
498	1	8	0	8	1
499	1	12	0	12	1
500	1	16	0	16	1
501	1	11	1	10	0
502	1	12	1	11	0
503	1	12	1	11	0
504	1	13	0	13	1
505	1	11	0	11	1
506	1	13	1	12	0
507	1	13	0	13	1
508	1	11	0	11	1
509	1	14	0	14	1
510	1	15	1	14	0
511	1	13	0	13	1
512	1	12	0	12	1
513	1	11	0	11	1
514	1	14	0	14	1
515	1	12	0	12	1
516	1	14	0	14	1
517	1	14	1	13	0
518	1	10	0	10	1
519	1	11	0	11	1
520	1	13	1	12	0
521	1	14	0	14	1
522	1	11	0	11	1
523	1	16	0	16	1
524	1	13	0	13	1
525	1	13	0	13	1
526	1	16	0	16	1
527	1	10	1	9	0
528	1	9	0	9	1
529	1	12	1	11	0
530	1	10	1	9	0
531	1	10	0	10	1
532	1	11	0	11	1
533	1	14	0	14	1
534	1	10	0	10	1
535	1	12	0	12	1
536	1	8	0	8	1
537	1	12	1	11	0
538	1	9	0	9	1
539	1	12	1	11	0
540	1	11	0	11	1
541	1	13	1	12	0
542	1	12	1	11	0
543	1	11	0	11	1
544	1	11	0	11	1
545	1	13	0	13	1
546	1	15	0	15	1
547	1	11	0	11	1
548	1	8	1	7	0
549	1	14	0	14	1
550	1	13	0	13	1
551	1	12	0	12	1
552	1	10	1	9	0
553	1	13	0	13	1
554	1	12	0	12	1
555	1	12	0	12	1
556	1	9	0	9	1
557	1	8	0	8	1
558	1	10	1	9	0
559	1	16	0	16	1
560	1	11	1	10	0
561	1	11	0	11	1
562	1	8	1	7	0
563	1	11	1	10	0
564	1	11	0	11	1
565	1	15	0	15	1
566	1	13	0	13	1
567	1	10	0	10	1
568	1	12	1	11	0
569	1	12	1	11	0
570	1	11	0	11	1
571	1	10	0	10	1
572	1	9	1	8	0
573	1	9	1	8	0
574	1	8	0	8	1
575	1	12	0	12	1
576	1	8	0	8	1
577	1	13	0	13	1
578	1	12	0	12	1
579	1	14	1	13	0
580	1	9	0	9	1
581	1	8	1	7	0
582	1	9	0	9	1
583	1	10	0	10	1
584	1	11	0	11	1
585	1	13	0	13	1
586	1	12	0	12	1
587	1	8	0	8	1
588	1	14	1	13	0
589	1	14	1	13	0
590	1	14	1	13	0
591	1	10	0	10	1
592	1	10	0	10	1
593	1	14	1	13	0
594	1	15	0	15	1
595	1	12	0	12	1
596	1	11	0	11	1
597	1	11	1	10	0
598	1	13	0	13	1
599	1	14	1	13	0
600	1	13	0	13	1
601	1	10	1	9	0
602	1	14	1	13	0
603	1	11	0	11	1
604	1	15	0	15	1
605	1	11	0	11	1
606	1	13	0	13	1
607	1	13	1	12	0
608	1	12	1	11	0
609	1	13	0	13	1
610	1	17	0	17	1
611	1	8	0	8	1
612	1	12	1	11	0
613	1	12	0	12	1
614	1	11	0	11	1
615	1	11	0	11	1
616	1	14	0	14	1
617	1	8	0	8	1
618	1	13	0	13	1
619	1	11	0	11	1
620	1	11	1	10	0
621	1	12	0	12	1
622	1	11	1	10	0
623	1	10	0	10	1
624	1	18	1	17	0
625	1	10	0	10	1
626	1	11	0	11	1
627	1	15	0	15	1
628	1	12	1	11	0
629	1	13	0	13	1
630	1	9	0	9	1
631	1	10	1	9	0
632	1	11	0	11	1
633	1	8	0	8	1
634	1	10	0	10	1
635	1	13	1	12	0
636	1	13	1	12	0
637	1	12	1	11	0
638	1	13	1	12	0
639	1	9	0	9	1
640	1	14	0	14	1
641	1	11	0	11	1
642	1	9	0	9	1
643	1	10	1	9	0
644	1	8	0	8	1
645	1	13	0	13	1
646	1	7	0	7	1
647	1	17	1	16	0
648	1	12	0	12	1
649	1	16	0	16	1
650	1	9	0	9	1
651	1	11	0	11	1
652	1	17	0	17	1
653	1	15	1	14	0
654	1	14	0	14	1
655	1	6	0	6	1
656	1	13	0	13	1
657	1	10	1	9	0
658	1	9	0	9	1
659	1	12	1	11	0
660	1	14	0	14	1
661	1	11	0	11	1
662	1	12	1	11	0
663	1	11	0	11	1
664	1	8	0	8	1
665	1	9	0	9	1
666	1	15	1	14	0
667	1	14	1	13	0
668	1	16	0	16	1
669	1	10	1	9	0
670	1	13	1	12	0
671	1	10	1	9	0
672	1	9	0	9	1
673	1	15	0	15	1
674	1	9	1	8	0
675	1	16	1	15	0
676	1	15	1	14	0
677	1	16	0	16	1
678	1	14	0	14	1
679	1	11	0	11	1
680	1	12	1	11	0
681	1	11	0	11	1
682	1	12	0	12	1
683	1	14	0	14	1
684	1	17	0	17	1
685	1	13	1	12	0
686	1	13	1	12	0
687	1	13	0	13	1
688	1	17	0	17	1
689	1	14	0	14	1
690	1	9	1	8	0
691	1	13	0	13	1
692	1	13	1	12	0
693	1	7	0	7	1
694	1	10	0	10	1
695	1	8	0	8	1
696	1	14	0	14	1
697	1	14	0	14	1
698	1	17	0	17	1
699	1	13	0	13	1
700	1	12	0	12	1
701	1	13	0	13	1
702	1	13	0	13	1
703	1	16	0	16	1
704	1	12	0	12	1
705	1	13	0	13	1
706	1	16	1	15	0
707	1	11	0	11	1
708	1	14	0	14	1
709	1	17	0	17	1
710	1	13	0	13	1
711	1	9	0	9	1
712	1	14	0	14	1
713	1	13	0	13	1
714	1	12	0	12	1
715	1	13	1	12	0
716	1	11	1	10	0
717	1	11	0	11	1
718	1	9	0	9	1
719	1	11	1	10	0
720	1	10	1	9	0
721	1	12	1	11	0
722	1	10	0	10	1
723	1	8	0	8	1
724	1	11	1	10	0
725	1	14	1	13	0
726	1	14	1	13	0
727	1	11	0	11	1
728	1	17	0	17	1
729	1	10	0	10	1
730	1	13	0	13	1
731	1	11	1	10	0
732	1	15	1	14	0
733	1	8	0	8	1
734	1	12	1	11	0
735	1	14	0	14	1
736	1	17	1	16	0
737	1	12	0	12	1
738	1	10	1	9	0
739	1	12	0	12	1
740	1	13	0	13	1
741	1	12	0	12	1
742	1	11	1	10	0
743	1	12	0	12	1
744	1	15	0	15	1
745	1	13	1	12	0
746	1	12	0	12	1
747	1	16	0	16	1
748	1	11	1	10	0
749	1	15	1	14	0
750	1	11	1	10	0
751	1	16	0	16	1
752	1	14	0	14	1
753	1	10	0	10	1
754	1	10	0	10	1
755	1	11	0	11	1
756	1	14	0	14	1
757	1	10	0	10	1
758	1	9	1	8	0
759	1	11	0	11	1
760	1	12	0	12	1
