frame	RelOb	DetObj	TrueDet	FalseDet	NotDet
1	1	0	0	0	1
2	1	1	1	0	0
3	1	2	2	0	0
4	1	2	2	0	0
5	1	1	1	0	0
6	1	1	1	0	0
7	1	2	2	0	0
8	1	4	2	2	0
9	1	4	2	2	0
10	1	3	2	1	0
11	1	3	2	1	0
12	1	2	2	0	0
13	1	2	2	0	0
14	1	2	2	0	0
15	1	2	2	0	0
16	1	2	1	1	0
17	1	4	1	3	0
18	1	5	2	3	0
19	1	3	3	0	0
20	1	3	2	1	0
21	1	3	2	1	0
22	1	3	2	1	0
23	1	3	2	1	0
24	1	3	3	0	0
25	1	3	3	0	0
26	1	2	2	0	0
27	1	3	2	1	0
28	1	3	2	1	0
29	1	3	2	1	0
30	1	3	2	1	0
31	1	2	2	0	0
32	1	1	1	0	0
33	1	1	1	0	0
34	1	2	2	0	0
35	1	4	3	1	0
36	1	5	3	2	0
37	1	3	2	1	0
38	1	2	2	0	0
39	1	3	2	1	0
40	1	3	2	1	0
41	1	3	2	1	0
42	1	3	2	1	0
43	1	2	2	0	0
44	1	2	2	0	0
45	1	2	2	0	0
46	1	2	2	0	0
47	1	1	1	0	0
48	1	1	1	0	0
49	1	3	1	2	0
50	1	3	2	1	0
51	1	2	1	1	0
52	1	1	1	0	0
53	1	1	1	0	0
54	1	2	1	1	0
55	1	3	3	0	0
56	1	3	3	0	0
57	1	3	2	1	0
58	1	3	2	1	0
59	1	1	1	0	0
60	1	3	1	2	0
61	1	4	2	2	0
62	1	2	2	0	0
63	1	2	2	0	0
64	1	2	2	0	0
65	1	3	3	0	0
66	1	5	3	2	0
67	1	3	1	2	0
68	1	1	1	0	0
69	1	1	1	0	0
70	1	1	1	0	0
71	1	2	2	0	0
72	1	2	2	0	0
73	1	2	2	0	0
74	1	3	2	1	0
75	1	3	2	1	0
76	1	2	2	0	0
77	1	2	2	0	0
78	1	2	2	0	0
79	1	2	2	0	0
80	1	3	2	1	0
81	1	3	2	1	0
82	1	3	2	1	0
83	1	3	1	2	0
84	1	3	2	1	0
85	1	3	3	0	0
86	1	5	2	3	0
87	1	5	3	2	0
88	1	3	2	1	0
89	1	3	3	0	0
90	1	3	3	0	0
91	1	2	2	0	0
92	1	5	3	2	0
93	1	5	3	2	0
94	1	5	2	3	0
95	1	5	2	3	0
96	1	3	2	1	0
97	1	3	2	1	0
98	1	5	2	3	0
99	1	5	2	3	0
100	1	3	2	1	0
101	1	1	1	0	0
102	1	2	2	0	0
103	1	3	2	1	0
104	1	4	3	1	0
105	1	4	2	2	0
106	1	4	2	2	0
107	1	2	2	0	0
108	1	2	2	0	0
109	1	2	2	0	0
110	1	2	2	0	0
111	1	2	1	1	0
112	1	4	2	2	0
113	1	4	2	2	0
114	1	2	2	0	0
115	1	2	2	0	0
