frame	RelOb	DetObj	TrueDet	FalseDet	NotDet
265	1	3	0	3	1
266	1	4	0	4	1
267	1	4	0	4	1
268	1	6	0	6	1
269	1	4	0	4	1
270	1	3	0	3	1
271	1	4	0	4	1
272	1	3	0	3	1
273	1	3	0	3	1
274	1	3	0	3	1
275	1	3	0	3	1
276	1	3	0	3	1
277	1	3	0	3	1
278	1	4	0	4	1
279	1	4	0	4	1
280	1	4	0	4	1
281	1	6	0	6	1
282	1	7	0	7	1
283	1	5	0	5	1
284	1	3	0	3	1
285	1	3	0	3	1
286	1	3	0	3	1
287	1	3	0	3	1
288	1	4	0	4	1
289	1	5	0	5	1
290	1	4	0	4	1
291	1	2	0	2	1
292	1	5	0	5	1
293	1	6	0	6	1
294	1	4	0	4	1
295	1	4	0	4	1
296	1	4	0	4	1
297	1	3	0	3	1
298	1	2	0	2	1
299	1	3	0	3	1
300	1	5	0	5	1
301	1	4	0	4	1
302	1	4	0	4	1
303	1	4	0	4	1
304	1	6	0	6	1
305	1	7	0	7	1
306	1	6	0	6	1
307	1	4	0	4	1
308	1	3	0	3	1
309	1	3	0	3	1
310	1	2	0	2	1
311	1	2	0	2	1
312	1	3	0	3	1
313	1	5	0	5	1
314	1	7	0	7	1
315	1	7	0	7	1
316	1	5	0	5	1
317	1	4	0	4	1
318	1	4	0	4	1
319	1	6	0	6	1
320	1	6	0	6	1
321	1	5	0	5	1
322	1	6	0	6	1
323	1	7	0	7	1
324	1	6	0	6	1
325	1	4	0	4	1
326	1	4	0	4	1
327	1	4	0	4	1
328	1	6	0	6	1
329	1	5	0	5	1
330	1	2	0	2	1
331	1	3	0	3	1
332	1	7	0	7	1
333	1	6	0	6	1
334	1	3	0	3	1
335	1	3	0	3	1
336	1	3	0	3	1
337	1	4	0	4	1
338	1	8	0	8	1
339	1	9	0	9	1
340	1	6	0	6	1
341	1	4	0	4	1
342	1	9	0	9	1
343	1	12	0	12	1
344	1	8	0	8	1
345	1	4	0	4	1
346	1	4	0	4	1
347	1	4	0	4	1
348	1	3	0	3	1
349	1	4	0	4	1
350	1	5	0	5	1
351	1	5	0	5	1
352	1	6	0	6	1
353	1	10	0	10	1
354	1	10	0	10	1
355	1	8	0	8	1
356	1	5	0	5	1
357	1	2	0	2	1
358	1	6	0	6	1
359	1	10	0	10	1
360	1	9	0	9	1
