frame	IoU
15	0.954085
16	0.952381
27	1.00566
43	0.909091
44	0.915332
56	0.976801
60	0.929152
70	0.954085
71	0.888889
99	1.00566
116	0.885936
126	0.979192
127	0.930233
152	1.07962
153	1
167	1.00063
168	0.952381
169	0.907544
180	0.907544
181	0.865801
182	0.909091
183	0.865801
184	0.865801
219	1.13798
223	1.00251
226	0.929152
227	0.845666
228	1
235	1.1088
236	0.930233
237	0.956938
238	0.867209
241	0.848356
254	0.830306
255	0.851064
256	1.0296
258	1.14286
263	1.08401
264	1.03359
265	1.01587
266	0.895857
267	0.854701
276	1.05471
277	1.08108
278	1.11111
279	1.05471
280	1.0101
281	0.935673
282	0.851064
286	0.627451
294	0.869565
295	0.616095
296	1.00063
297	1.05263
298	0.951814
300	0.808898
301	0.911681
303	0.987654
304	1.02302
305	1.01587
310	1.13798
311	1.07962
316	0.97561
317	1.02696
319	1.05263
328	0.851064
329	0.851064
330	0.813008
331	0.869565
332	0.960961
333	0.982801
340	0.976801
342	0.777454
343	0.848356
344	0.848356
345	0.886918
352	0.952381
359	0.987654
371	0.865801
372	0.930233
373	0.97561
384	0.865333
385	0.865801
386	0.886918
387	0.930233
388	0.911681
399	0.793651
401	0.867209
403	1.02564
439	0.885936
455	0.885936
456	0.952381
483	0.954085
495	0.907544
496	0.885936
497	0.952381
500	1.07962
frame	IoU
15	0.976801
16	0.952381
17	0.865801
18	0.865333
27	1.0296
41	1.02696
43	0.888889
59	1
71	0.909091
116	0.885936
127	0.930233
153	1.02564
168	0.97561
169	0.930233
170	0.907029
180	0.952381
181	0.865801
182	0.909091
183	0.886918
223	1.00251
235	1.05263
236	0.909091
237	0.932401
238	0.909091
240	0.791687
254	0.830306
255	0.851064
256	1.0296
258	1.20664
263	1.14286
264	1.03359
265	1.03896
266	0.915332
276	1.05263
277	1.08108
278	1.08108
279	1.02696
281	0.932401
282	0.830306
286	0.615148
294	0.627943
295	0.627943
296	1.00063
298	0.951814
299	0.952381
300	0.826873
301	0.888889
303	0.966184
304	1.02302
305	1.04575
310	1.13798
316	0.929152
317	1.02696
319	1.07962
328	0.851064
329	0.851064
330	0.830306
331	0.891862
332	0.956938
333	0.982801
340	1.00251
342	0.813008
343	0.848356
344	0.869565
345	0.867209
346	0.911681
352	0.930233
359	0.966184
371	0.885936
372	0.954085
373	1.00063
385	0.886918
386	0.907544
387	0.954085
399	0.775194
401	0.867209
403	1
438	0.865333
455	0.886918
456	1.02564
483	0.932401
496	0.929152
497	0.952381
500	1.07962
frame	IoU
15	0.954085
16	0.886918
27	0.932401
43	0.869565
59	0.97561
99	0.960961
116	0.865801
127	0.929152
153	1.02564
168	0.952381
169	0.907029
180	0.976801
181	0.886918
223	0.932401
236	0.976801
238	0.867209
254	0.833333
256	1.00566
258	1.14286
263	1.00566
265	0.966184
266	0.895857
277	1.05471
278	1.0296
279	0.979192
280	0.956938
281	0.915332
282	0.830306
294	0.911681
298	0.929152
300	0.791687
301	0.911681
303	0.993789
304	0.980392
311	1.05194
317	1.00251
319	1.08108
330	0.813008
331	0.872886
333	0.960961
343	0.808898
344	0.851064
345	0.909091
352	0.907544
371	0.886918
372	0.909091
373	0.930233
386	0.886918
387	0.888889
401	0.828157
483	0.888889
496	0.865801
frame	IoU
15	0.954085
27	0.956938
116	0.885936
153	1.02564
168	0.952381
181	0.886918
223	0.954085
236	0.976801
238	0.848356
254	0.813008
265	0.940071
266	0.895857
277	1.05471
278	1.05471
279	0.979192
280	0.956938
281	0.940071
282	0.813008
294	0.911681
298	0.907029
300	0.810537
301	0.888889
303	1.02302
304	0.980392
317	1.00251
330	0.813008
331	0.851064
333	0.960961
343	0.791687
344	0.830306
345	0.909091
352	0.907544
371	0.886918
372	0.909091
373	0.930233
386	0.886918
387	0.888889
401	0.828157
483	0.888889
496	0.845666
