frame	RelOb	DetObj	TrueDet	FalseDet	NotDet
1	1	0	0	0	1
2	1	4	1	3	0
3	1	6	4	2	0
4	1	9	9	0	0
5	1	10	8	2	0
6	1	7	3	4	0
7	1	9	5	4	0
8	1	8	5	3	0
9	1	11	6	5	0
10	1	11	8	3	0
11	1	8	5	3	0
12	1	7	5	2	0
13	1	10	5	5	0
14	1	9	6	3	0
15	1	8	4	4	0
16	1	7	3	4	0
17	1	7	6	1	0
18	1	6	6	0	0
19	1	6	5	1	0
20	1	6	5	1	0
21	1	5	4	1	0
22	1	7	3	4	0
23	1	9	5	4	0
24	1	7	5	2	0
25	1	9	4	5	0
26	1	7	5	2	0
27	1	8	6	2	0
28	1	9	8	1	0
29	1	7	5	2	0
30	1	7	6	1	0
31	1	8	4	4	0
32	1	9	4	5	0
33	1	7	4	3	0
34	1	8	5	3	0
35	1	6	4	2	0
36	1	3	3	0	0
37	1	4	2	2	0
38	1	8	4	4	0
39	1	12	7	5	0
40	1	11	6	5	0
41	1	11	5	6	0
42	1	7	5	2	0
43	1	3	3	0	0
44	1	4	3	1	0
45	1	4	4	0	0
46	1	4	3	1	0
47	1	4	4	0	0
48	1	3	2	1	0
49	1	4	3	1	0
50	1	4	3	1	0
51	1	5	4	1	0
52	1	5	3	2	0
53	1	4	2	2	0
54	1	4	2	2	0
55	1	4	4	0	0
56	1	4	3	1	0
57	1	5	3	2	0
58	1	7	2	5	0
59	1	8	4	4	0
60	1	5	5	0	0
61	1	5	4	1	0
62	1	6	5	1	0
63	1	5	4	1	0
64	1	7	3	4	0
65	1	6	3	3	0
66	1	4	2	2	0
67	1	4	2	2	0
68	1	7	3	4	0
69	1	7	3	4	0
70	1	5	4	1	0
71	1	5	3	2	0
72	1	6	3	3	0
73	1	5	3	2	0
74	1	5	4	1	0
75	1	7	5	2	0
76	1	7	4	3	0
77	1	5	2	3	0
78	1	5	3	2	0
79	1	5	2	3	0
80	1	2	2	0	0
81	1	3	1	2	0
82	1	3	2	1	0
83	1	4	3	1	0
84	1	4	3	1	0
85	1	5	3	2	0
